ECOICOP2 CODE,SUBCLASS,DIVISION,2026 WEIGHT (%),MATCHING (1=YES),MATCHED WEIGHT (%),TOTAL MATCHED WEIGHT (%)
CP07323,Passenger transport for students to and from school,TRANSPORT,0.04,0,0,
CP07332,"Passenger transport by air, international",TRANSPORT,1.9,0,0,
CP07411,Letter handling services,TRANSPORT,0.02,1,0.02,
CP07412,Courier and parcel delivery services,TRANSPORT,0.07,1,0.07,
CP07491,Removal and storage services,TRANSPORT,0.02,0,0,
CP07492,Delivery of goods,TRANSPORT,0.08,0,0,
CP08120,Mobile telephone equipment,INFORMATION AND COMMUNICATION,0.6,1,0.6,
CP08131,"Computers, laptops and tablets",INFORMATION AND COMMUNICATION,0.26,1,0.26,
CP08132,Peripheral equipment and its consumable components,INFORMATION AND COMMUNICATION,0.02,1,0.02,
CP08140,"Equipment for the reception, recording and reproduction of sound and vision",INFORMATION AND COMMUNICATION,0.28,1,0.28,
CP08150,Unrecorded recording media,INFORMATION AND COMMUNICATION,0.02,1,0.02,
CP08191,Other information and communication equipment,INFORMATION AND COMMUNICATION,0.04,1,0.04,
CP08192,Other information and communication accessories,INFORMATION AND COMMUNICATION,0.04,1,0.04,
CP08310,Fixed communication services,INFORMATION AND COMMUNICATION,0.06,1,0.06,
CP08320,Mobile communication services,INFORMATION AND COMMUNICATION,1.24,1,1.24,
CP08330,Internet access provision services and online storage services,INFORMATION AND COMMUNICATION,0.34,1,0.34,
CP08340,Bundled telecommunication services,INFORMATION AND COMMUNICATION,1.1,1,1.1,
CP08392,Subscriptions to audiovisual streaming services and rental of audiovisual content,INFORMATION AND COMMUNICATION,0.15,1,0.15,
CP09111,Cameras,"RECREATION, SPORT AND CULTURE",0.02,1,0.02,
CP09123,"Boats, yachts, outboard motors and other water-sport equipment","RECREATION, SPORT AND CULTURE",0.02,0,0,
CP09211,"Video game computers, consoles, game applications and software","RECREATION, SPORT AND CULTURE",0.09,1,0.09,
CP09212,"Other games, toys and hobby-related articles","RECREATION, SPORT AND CULTURE",0.44,1,0.44,
CP09213,Celebration articles,"RECREATION, SPORT AND CULTURE",0.05,0,0,
CP09221,Sporting equipment,"RECREATION, SPORT AND CULTURE",0.16,1,0.16,
CP09311,Garden products,"RECREATION, SPORT AND CULTURE",0.09,1,0.09,
CP09312,"Plants, seeds and flowers","RECREATION, SPORT AND CULTURE",0.21,1,0.21,
CP09321,Pets,"RECREATION, SPORT AND CULTURE",0.02,0,0,
CP09322,Products for pets and other household animals,"RECREATION, SPORT AND CULTURE",0.49,1,0.49,
CP09450,Veterinary and other services for pets,"RECREATION, SPORT AND CULTURE",0.16,1,0.16,
CP09461,Recreational and leisure services,"RECREATION, SPORT AND CULTURE",0.26,0,0,
CP09462,Services associated with the practice of sports,"RECREATION, SPORT AND CULTURE",0.7,0,0,
CP09463,Services associated with attendance at sporting events,"RECREATION, SPORT AND CULTURE",0.21,0,0,
CP09470,Games of chance,"RECREATION, SPORT AND CULTURE",2.29,1,2.29,
CP09510,Musical instruments,"RECREATION, SPORT AND CULTURE",0.03,1,0.03,
CP09610,"Services provided by cinemas, theatres and concert venues","RECREATION, SPORT AND CULTURE",0.24,1,0.24,
CP09620,"Services provided by museums, libraries and cultural sites","RECREATION, SPORT AND CULTURE",0.02,0,0,
CP09630,Photographic services,"RECREATION, SPORT AND CULTURE",0.13,0,0,
CP09690,Other cultural services,"RECREATION, SPORT AND CULTURE",0.3,0,0,
CP09711,Educational books and textbooks,"RECREATION, SPORT AND CULTURE",0.1,1,0.1,
CP09719,Other books,"RECREATION, SPORT AND CULTURE",0.18,1,0.18,
CP09721,Newspapers,"RECREATION, SPORT AND CULTURE",0.04,0,0,
CP09730,Miscellaneous printed matter,"RECREATION, SPORT AND CULTURE",0.04,1,0.04,
CP09740,Stationery and drawing materials,"RECREATION, SPORT AND CULTURE",0.17,1,0.17,
CP09800,Package holidays,"RECREATION, SPORT AND CULTURE",0.48,1,0.48,
CP10101,Early childhood education,EDUCATION SERVICES,0.5,1,0.5,
CP10102,Primary education,EDUCATION SERVICES,0.22,1,0.22,
CP10200,Secondary education,EDUCATION SERVICES,0.66,1,0.66,
CP10300,Post-secondary non-tertiary education,EDUCATION SERVICES,0.03,1,0.03,
CP10400,Tertiary education,EDUCATION SERVICES,1.12,1,1.12,
CP10501,Tutoring,EDUCATION SERVICES,1.1,1,1.1,
CP10509,Other education not defined by level,EDUCATION SERVICES,0.13,0,0,
CP11111,"Restaurants, caf?s and the like - with full service",RESTAURANTS AND ACCOMODATION SERVICES,6.74,1,6.74,
CP11112,"Restaurants, caf?s and the like - with limited service",RESTAURANTS AND ACCOMODATION SERVICES,3.77,1,3.77,
CP11129,"Other canteens, cafeterias and refectories",RESTAURANTS AND ACCOMODATION SERVICES,0.1,0,0,
CP11201,"Hotels, motels, inns and similar accommodation services",RESTAURANTS AND ACCOMODATION SERVICES,0.47,0,0,
CP11203,"Accommodation services of boarding schools, universities and other educational establishments",RESTAURANTS AND ACCOMODATION SERVICES,0.05,0,0,
CP12110,Life and accident insurance,INSURANCE AND FINANCIAL SERVICES,0.13,0,0,
CP12120,Insurance connected with health,INSURANCE AND FINANCIAL SERVICES,0.42,0,0,
CP12130,Insurance connected with dwellings,INSURANCE AND FINANCIAL SERVICES,0.03,0,0,
CP12141,Personal transport insurance,INSURANCE AND FINANCIAL SERVICES,0.88,0,0,
CP12220,Explicit charges by deposit-taking corporations,INSURANCE AND FINANCIAL SERVICES,0.9,0,0,
CP13111,Purchase of electric appliances for personal care,"PERSONAL CARE, SOCIAL PROTECTION AND MISCELLANEOUS GOODS AND SERVICES",0.02,1,0.02,
CP13120,"Other appliances, articles and products for personal care","PERSONAL CARE, SOCIAL PROTECTION AND MISCELLANEOUS GOODS AND SERVICES",2.35,1,2.35,
CP13131,Hairdressing,"PERSONAL CARE, SOCIAL PROTECTION AND MISCELLANEOUS GOODS AND SERVICES",1.36,1,1.36,
CP13132,Personal grooming treatments,"PERSONAL CARE, SOCIAL PROTECTION AND MISCELLANEOUS GOODS AND SERVICES",0.68,1,0.68,
CP13211,Purchase of jewellery and watches,"PERSONAL CARE, SOCIAL PROTECTION AND MISCELLANEOUS GOODS AND SERVICES",0.17,1,0.17,
CP13291,"Travel goods, baby articles and other personal effects n.e.c.","PERSONAL CARE, SOCIAL PROTECTION AND MISCELLANEOUS GOODS AND SERVICES",0.36,1,0.36,
CP13301,Childcare services,"PERSONAL CARE, SOCIAL PROTECTION AND MISCELLANEOUS GOODS AND SERVICES",0.08,0,0,
CP13303,Home care services for elderly and disabled,"PERSONAL CARE, SOCIAL PROTECTION AND MISCELLANEOUS GOODS AND SERVICES",0.32,0,0,
CP13309,Other social protection services,"PERSONAL CARE, SOCIAL PROTECTION AND MISCELLANEOUS GOODS AND SERVICES",0.02,0,0,
CP13902,Religious services,"PERSONAL CARE, SOCIAL PROTECTION AND MISCELLANEOUS GOODS AND SERVICES",0.03,0,0,
CP13909,Other services n.e.c.,"PERSONAL CARE, SOCIAL PROTECTION AND MISCELLANEOUS GOODS AND SERVICES",0.33,0,0,
