Date,Name,Subclass,Price,Division,Retailer
2026-02-13,Dettol Antibacterial Multi-Purpose Spray Cleaner Lime & Mint 500 ml,Cleaning and maintenance products,2.59,"FURNISHING, HOUSEHOLD EQUIPMENT AND SUPPLIES ",Alphamega
2026-02-13,Dixan Fabric Detergent Liquid Multicolor 2.16 L 48 washes,Cleaning and maintenance products,6.95,"FURNISHING, HOUSEHOLD EQUIPMENT AND SUPPLIES",Alphamega
2026-02-13,Eureka Massalias Classic Liquid Fabric Detergent 57 Washes 2.592 L,Cleaning and maintenance products,6.1,"FURNISHING, HOUSEHOLD EQUIPMENT AND SUPPLIES",Alphamega
2026-02-13,Pyrsos Charcoal 5 kg,Coal,6.45,"HOUSING, WATER, ELECTRICITY, GAS AND OTHER FUELS",Alphamega
2026-02-13,Etosha Charcoal 5 Kg,Coal,5.35,"HOUSING, WATER, ELECTRICITY, GAS AND OTHER FUELS",Alphamega
2026-02-13,Cadbury Cocoa 125 g,Cocoa and powdered chocolate,2.75,FOOD AND NON-ALCOHOLIC BEVERAGES,Alphamega
2026-02-13,Cadbury Hot Chocolate 500 g,Cocoa and powdered chocolate,4.65,FOOD AND NON-ALCOHOLIC BEVERAGES,Alphamega
2026-02-13,Jolly Cocoa Powder 100 g,Cocoa and powdered chocolate,2.29,FOOD AND NON-ALCOHOLIC BEVERAGES,Alphamega
2026-02-13,Cadbury Cocoa 125 g,Cocoa and powdered chocolate,2.75,FOOD AND NON-ALCOHOLIC BEVERAGES,Alphamega
2026-02-13,Douwe Egberts Espresso Instant Coffee 185 g,Coffee,10.95,FOOD AND NON-ALCOHOLIC BEVERAGES,Alphamega
2026-02-13,Nescafe Classic Decaf Instant Coffee 100 g,Coffee,5.59,FOOD AND NON-ALCOHOLIC BEVERAGES,Alphamega
2026-02-13,G. Charalambous Silver Cypriot Coffee 200 g,Coffee,3.8,FOOD AND NON-ALCOHOLIC BEVERAGES,Alphamega
2026-02-13,Nescafe Classic Instant Coffee 100 g,Coffee,4.35,FOOD AND NON-ALCOHOLIC BEVERAGES,Alphamega
2026-02-13,Nescafe Classic Instant Coffee 200 g,Coffee,6.85,FOOD AND NON-ALCOHOLIC BEVERAGES,Alphamega
2026-02-13,G.Charalambous Classic Coffee 200 g,Coffee,3.6,FOOD AND NON-ALCOHOLIC BEVERAGES,Alphamega
2026-02-13,Laikos Gold Traditional Greek Coffee 500 g,Coffee,8.99,FOOD AND NON-ALCOHOLIC BEVERAGES,Alphamega
2026-02-13,Laikos Gold Traditional Greek Coffee 200 g,Coffee,3.29,FOOD AND NON-ALCOHOLIC BEVERAGES,Alphamega
2026-02-13,Nescafe Azera Freddo Espresso 100 g,Coffee,7.49,FOOD AND NON-ALCOHOLIC BEVERAGES,Alphamega
2026-02-13,Jacobs Kronung Filter Coffee 250 g,Coffee,4.95,FOOD AND NON-ALCOHOLIC BEVERAGES,Alphamega
2026-02-13,Nescafe Gold Instant Coffee 95 g,Coffee,4.59,FOOD AND NON-ALCOHOLIC BEVERAGES,Alphamega
2026-02-13,Jacobs Instant Decaf Coffee 100 g,Coffee,5.95,FOOD AND NON-ALCOHOLIC BEVERAGES,Alphamega
2026-02-13,3A Maize Starch 500 g,Confectionery products,1.59,FOOD AND NON-ALCOHOLIC BEVERAGES,Alphamega
2026-02-13,Royal Baking Powder 113 g,Confectionery products,1.45,FOOD AND NON-ALCOHOLIC BEVERAGES,Alphamega
2026-02-13,Natural Life Baking Soda (Sodium Bicarbonate) 120 g,Confectionery products,0.99,FOOD AND NON-ALCOHOLIC BEVERAGES,Alphamega
2026-02-13,Carltona Carltona Corn Flour 450 g,Confectionery products,2.25,FOOD AND NON-ALCOHOLIC BEVERAGES,Alphamega
2026-02-13,Spry Pure Vegetable Shortening 350 g,Confectionery products,2.39,FOOD AND NON-ALCOHOLIC BEVERAGES,Alphamega
2026-02-13,Amalia Water with Bitter Orange Flavour 500 ml,Confectionery products,0.79,FOOD AND NON-ALCOHOLIC BEVERAGES,Alphamega
2026-02-13,Yiotis Instant Yeast 3x8 g,Confectionery products,0.99,FOOD AND NON-ALCOHOLIC BEVERAGES,Alphamega
2026-02-13,Amalia Ground Coconut 250 g,Confectionery products,0.89,FOOD AND NON-ALCOHOLIC BEVERAGES,Alphamega
2026-02-13,Johnsof Ladyfingers 200 g,Confectionery products,1.39,FOOD AND NON-ALCOHOLIC BEVERAGES,Alphamega
2026-02-13,Agros Distilled Rose Petals 500 ml,Confectionery products,5.35,FOOD AND NON-ALCOHOLIC BEVERAGES,Alphamega
2026-02-13,G.Charalambous Cheese Puffs 10x22 g,Crisps,2.35,FOOD AND NON-ALCOHOLIC BEVERAGES,Alphamega
2026-02-13,Lay's Potato Chips with Salt & Vinegar Flavour 160 g,Crisps,2.1,FOOD AND NON-ALCOHOLIC BEVERAGES,Alphamega
2026-02-13,Lay's Potato Chips with Salt 160 g,Crisps,2.1,FOOD AND NON-ALCOHOLIC BEVERAGES,Alphamega
2026-02-13,El Sabor Nachos Chips Salted Gluten Free 225 g,Crisps,1.99,FOOD AND NON-ALCOHOLIC BEVERAGES,Alphamega
2026-02-13,Pringles Texas Barbecue Flavour Savoury Snack 165 g,Crisps,1.99,FOOD AND NON-ALCOHOLIC BEVERAGES,Alphamega
2026-02-13,Serano Snacking Good Dried Apricots 250 g,Dried fruit and nuts,4.89,FOOD AND NON-ALCOHOLIC BEVERAGES,Alphamega
2026-02-13,Serano Roasted Blanched Peanuts 175 g,Dried fruit and nuts,1.9,FOOD AND NON-ALCOHOLIC BEVERAGES,Alphamega
2026-02-13,Sunsweet Dried Prunes 500 g,Dried fruit and nuts,3.99,FOOD AND NON-ALCOHOLIC BEVERAGES,Alphamega
2026-02-13,Serano Roasted In-Shell Pistachios 180 g,Dried fruit and nuts,3.69,FOOD AND NON-ALCOHOLIC BEVERAGES,Alphamega
2026-02-13,Serano Roasted Salted Peanuts 200 g,Dried fruit and nuts,1.59,FOOD AND NON-ALCOHOLIC BEVERAGES,Alphamega
2026-02-13,Livadioti Roasted Almonds Unsalted 120 g,Dried fruit and nuts,2.15,FOOD AND NON-ALCOHOLIC BEVERAGES,Alphamega
2026-02-13,Serano Raisins 300 g,Dried fruit and nuts,1.79,FOOD AND NON-ALCOHOLIC BEVERAGES,Alphamega
2026-02-13,Serano Raw Cashew Kernels 140 g,Dried fruit and nuts,3.39,FOOD AND NON-ALCOHOLIC BEVERAGES,Alphamega
2026-02-13,Livadioti Raw Walnuts 140 g,Dried fruit and nuts,2.99,FOOD AND NON-ALCOHOLIC BEVERAGES,Alphamega
2026-02-13,Livadioti Dried Figs 300 g,Dried fruit and nuts,5.69,FOOD AND NON-ALCOHOLIC BEVERAGES,Alphamega
2026-02-13,Dried Prunes 450 g,Dried fruit and nuts,4.95,FOOD AND NON-ALCOHOLIC BEVERAGES,Alphamega
2026-02-13,Heinz Baked Beans in Tomato Sauce 415 g,"Dried vegetables, other preserved or processed vegetables",1.85,FOOD AND NON-ALCOHOLIC BEVERAGES,Alphamega
2026-02-13,Alphamega Sweet Corn 340 g,"Dried vegetables, other preserved or processed vegetables",1.09,FOOD AND NON-ALCOHOLIC BEVERAGES,Alphamega
2026-02-13,Campagna White Beans 400 g,"Dried vegetables, other preserved or processed vegetables",1.09,FOOD AND NON-ALCOHOLIC BEVERAGES,Alphamega
2026-02-13,Bonduelle Red Beans 200 g,"Dried vegetables, other preserved or processed vegetables",1.15,FOOD AND NON-ALCOHOLIC BEVERAGES,Alphamega
2026-02-13,Campagna Chick Peas 400 g,"Dried vegetables, other preserved or processed vegetables",0.99,FOOD AND NON-ALCOHOLIC BEVERAGES,Alphamega
2026-02-13,Alphamega Sliced Mushrooms 400 g,"Dried vegetables, other preserved or processed vegetables",1.49,FOOD AND NON-ALCOHOLIC BEVERAGES,Alphamega
2026-02-13,Grigoriou Smoked Turkey Sliced 200 g,"Dried, salted or smoked meat",3.65,FOOD AND NON-ALCOHOLIC BEVERAGES,Alphamega
2026-02-13,Chrysodalia Ham Leg in Slices 300 g,"Dried, salted or smoked meat",2.65,FOOD AND NON-ALCOHOLIC BEVERAGES,Alphamega
2026-02-13,Alphamega Salami Extra 300 g,"Dried, salted or smoked meat",2.19,FOOD AND NON-ALCOHOLIC BEVERAGES,Alphamega
2026-02-13,Chrysodalia Smoked Pork Loin in Slices 150 g,"Dried, salted or smoked meat",2.25,FOOD AND NON-ALCOHOLIC BEVERAGES,Alphamega
2026-02-13,Chrysodalia Smoked Pork Loin 300 g,"Dried, salted or smoked meat",3.75,FOOD AND NON-ALCOHOLIC BEVERAGES,Alphamega
2026-02-13,Alphamega Smoked Turkey Fillet 200 g,"Dried, salted or smoked meat",3.19,FOOD AND NON-ALCOHOLIC BEVERAGES,Alphamega
2026-02-13,Grigoriou Streaky Bacon Sliced 150 g,"Dried, salted or smoked meat",2.19,FOOD AND NON-ALCOHOLIC BEVERAGES,Alphamega
2026-02-13,Chameau Anchovies Flat Fillets in Sunflower Oil 50 g,"Dried, smoked or salted fish and seafood",1.35,FOOD AND NON-ALCOHOLIC BEVERAGES,Alphamega
2026-02-13,Chameau Sardines in Olive Oil 125 g,"Dried, smoked or salted fish and seafood",1.43,FOOD AND NON-ALCOHOLIC BEVERAGES,Alphamega
2026-02-13,Trata Smoked Herring Fillet In Vegetable Oil 150 g,"Dried, smoked or salted fish and seafood",2.19,FOOD AND NON-ALCOHOLIC BEVERAGES,Alphamega
2026-02-13,Flokos Mackerel Fillet Smoked in Vegetable Oil 150 g,"Dried, smoked or salted fish and seafood",2.99,FOOD AND NON-ALCOHOLIC BEVERAGES,Alphamega
2026-02-13,Papafilipou Chocolate Ice Cream 850 ml,Edible ices and ice cream,7.3,FOOD AND NON-ALCOHOLIC BEVERAGES,Alphamega
2026-02-13,Regis Choc Ice Cream 6x75 ml,Edible ices and ice cream,3.29,FOOD AND NON-ALCOHOLIC BEVERAGES,Alphamega
2026-02-13,Party Ice Ice Cubes 3 kg,Edible ices and ice cream,2.25,FOOD AND NON-ALCOHOLIC BEVERAGES,Alphamega
2026-02-13,Party Ice Ice Cubes 1.2 kg,Edible ices and ice cream,1.65,FOOD AND NON-ALCOHOLIC BEVERAGES,Alphamega
2026-02-13,Nikiforou Fresh Eggs Medium Size 12 Pieces,Eggs,3.75,FOOD AND NON-ALCOHOLIC BEVERAGES,Alphamega
2026-02-13,Nikiforou Fresh Eggs Large Size 12 Pieces,Eggs,3.99,FOOD AND NON-ALCOHOLIC BEVERAGES,Alphamega
2026-02-13,"Alphamega Farina Flour ""00"" 1 kg",Flours and other cereals,1.19,FOOD AND NON-ALCOHOLIC BEVERAGES,Alphamega
2026-02-13,Mitsides All-purpose Flour 1 kg,Flours and other cereals,1.25,FOOD AND NON-ALCOHOLIC BEVERAGES,Alphamega
2026-02-13,"Mitsides Plain Flour ""00"" 1 kg",Flours and other cereals,1.29,FOOD AND NON-ALCOHOLIC BEVERAGES,Alphamega
2026-02-13,Mitsides Self-Raising Flour 1 kg,Flours and other cereals,1.65,FOOD AND NON-ALCOHOLIC BEVERAGES,Alphamega
2026-02-13,Alphamega Village Flour 1 kg,Flours and other cereals,1.19,FOOD AND NON-ALCOHOLIC BEVERAGES,Alphamega
2026-02-13,Mitsides Traditional Flour 1 kg,Flours and other cereals,1.39,FOOD AND NON-ALCOHOLIC BEVERAGES,Alphamega
2026-02-13,Edesma Whole Cleaned Octopus 500/1000 800 g,Fresh or chilled fish,11.16,FOOD AND NON-ALCOHOLIC BEVERAGES,Alphamega
2026-02-13,Edesma Whole Cleaned Squid 800 g,Fresh or chilled fish,6.36,FOOD AND NON-ALCOHOLIC BEVERAGES,Alphamega
2026-02-13,Levantina Fish Sea Bream Scaled and Gutted 700 g,Fresh or chilled fish,8.37,FOOD AND NON-ALCOHOLIC BEVERAGES,Alphamega
2026-02-13,Edesma Whole Cuttlefish 800 g,Fresh or chilled fish,6.39,FOOD AND NON-ALCOHOLIC BEVERAGES,Alphamega
2026-02-13,Merlin Oranges 1.2 kg,Fresh or chilled fruit,3.54,FOOD AND NON-ALCOHOLIC BEVERAGES,Alphamega
2026-02-13,Chiquita Bananas 1 kg,Fresh or chilled fruit,1.59,FOOD AND NON-ALCOHOLIC BEVERAGES,Alphamega
2026-02-13,Imported Kiwis 1 kg,Fresh or chilled fruit,3.89,FOOD AND NON-ALCOHOLIC BEVERAGES,Alphamega
2026-02-13,Local Bananas 800 g,Fresh or chilled fruit,1.4,FOOD AND NON-ALCOHOLIC BEVERAGES,Alphamega
2026-02-13,Oranges for Juice 1.2 kg,Fresh or chilled fruit,1.55,FOOD AND NON-ALCOHOLIC BEVERAGES,Alphamega
2026-02-13,Granny Smith Prepacked Green Apples 800 g,Fresh or chilled fruit,2.43,FOOD AND NON-ALCOHOLIC BEVERAGES,Alphamega
2026-02-13,Prepacked Red Apples 800 g,Fresh or chilled fruit,2.43,FOOD AND NON-ALCOHOLIC BEVERAGES,Alphamega
2026-02-13,Prepacked Yellow Apples 800 g,Fresh or chilled fruit,2.43,FOOD AND NON-ALCOHOLIC BEVERAGES,Alphamega
2026-02-13,Prepacked Gala Apples 800 g,Fresh or chilled fruit,2.62,FOOD AND NON-ALCOHOLIC BEVERAGES,Alphamega
2026-02-13,Sodia Frozen Strawberries 500 g,Fresh or chilled fruit,3.09,FOOD AND NON-ALCOHOLIC BEVERAGES,Alphamega
2026-02-13,Casino Frozen Red Berry Mix 500 g,Fresh or chilled fruit,3.99,FOOD AND NON-ALCOHOLIC BEVERAGES,Alphamega
2026-02-13,Taro 1.5 kg,Fresh or chilled vegetables other than potatoes and other tubers,5.03,FOOD AND NON-ALCOHOLIC BEVERAGES,Alphamega
2026-02-13,Prepacked White Zucchini 800 g,Fresh or chilled vegetables other than potatoes and other tubers,2.07,FOOD AND NON-ALCOHOLIC BEVERAGES,Alphamega
2026-02-13,Prepacked Tomatoes 1100 g,Fresh or chilled vegetables other than potatoes and other tubers,2.41,FOOD AND NON-ALCOHOLIC BEVERAGES,Alphamega
2026-02-13,Lemons 1 kg,Fresh or chilled vegetables other than potatoes and other tubers,0.99,FOOD AND NON-ALCOHOLIC BEVERAGES,Alphamega
