Name,Subclass,Url,Division,Retailer
Stella Citron Water 500ml,Confectionery products,https://www.supermarketcy.com.cy/en/stella-citron-water-500ml,FOOD AND NON-ALCOHOLIC BEVERAGES,SupermarketCy
Jotis Instant Yeast 3x8g,Confectionery products,https://www.supermarketcy.com.cy/en/jotis-instant-yeast-3x8g,FOOD AND NON-ALCOHOLIC BEVERAGES,SupermarketCy
Amalia Fine Desiccated Coconut 250g,Confectionery products,https://www.supermarketcy.com.cy/en/amalia-fine-desiccated-coconut-250g,FOOD AND NON-ALCOHOLIC BEVERAGES,SupermarketCy
Bakandys Lady Fingers 200g,Confectionery products,https://www.supermarketcy.com.cy/en/bakandys-lady-fingers-200g,FOOD AND NON-ALCOHOLIC BEVERAGES,SupermarketCy
Agrou Rosewater 500ml,Confectionery products,https://www.supermarketcy.com.cy/en/agrou-rosewater-500ml,FOOD AND NON-ALCOHOLIC BEVERAGES,SupermarketCy
Charalambous Cheese Puffs 10X22g,Crisps,https://www.supermarketcy.com.cy/en/charalambous-cheese-puffs-10x22g,FOOD AND NON-ALCOHOLIC BEVERAGES,SupermarketCy
Lays Salt Vinegar 160g,Crisps,https://www.supermarketcy.com.cy/en/lays-salt-vinegar-160g,FOOD AND NON-ALCOHOLIC BEVERAGES,SupermarketCy
Lays Salted 160g,Crisps,https://www.supermarketcy.com.cy/en/lays-salted-160g,FOOD AND NON-ALCOHOLIC BEVERAGES,SupermarketCy
El Sabor Nacho Chips Texas Bbq Flavor 225g,Crisps,https://www.supermarketcy.com.cy/en/el-sabor-nacho-chips-texas-bbq-flavor-225g,FOOD AND NON-ALCOHOLIC BEVERAGES,SupermarketCy
Jumbo Country Chips Balsamic Vinegar & Caramelised Onion Gluten Free 150g,Crisps,https://www.supermarketcy.com.cy/en/jumbo-country-chips-balsamic-vinegar-caramelised-onion-gluten-free-150g,FOOD AND NON-ALCOHOLIC BEVERAGES,SupermarketCy
Amalia Dried Apricots 250g,Dried fruit and nuts,https://www.supermarketcy.com.cy/en/amalia-dried-apricots-250g,FOOD AND NON-ALCOHOLIC BEVERAGES,SupermarketCy
Serano Roasted Salted Peanuts 175g,Dried fruit and nuts,https://www.supermarketcy.com.cy/en/serano-roasted-salted-peanuts-175g,FOOD AND NON-ALCOHOLIC BEVERAGES,SupermarketCy
Serano Snackin' Good Dried Prunes With Pit No Added Sugar 275g,Dried fruit and nuts,https://www.supermarketcy.com.cy/en/serano-snackin-good-dried-prunes-with-pit-no-added-sugar-275g,FOOD AND NON-ALCOHOLIC BEVERAGES,SupermarketCy
Amalia Pistachios 160g,Dried fruit and nuts,https://www.supermarketcy.com.cy/en/amalia-pistachios-160g,FOOD AND NON-ALCOHOLIC BEVERAGES,SupermarketCy
Serano Roasted Salted Peanuts 200g,Dried fruit and nuts,https://www.supermarketcy.com.cy/en/serano-roasted-salted-peanuts-200g,FOOD AND NON-ALCOHOLIC BEVERAGES,SupermarketCy
Livadioti Green Label Roasted Almonds 120g,Dried fruit and nuts,https://www.supermarketcy.com.cy/en/livadioti-green-label-roasted-almonds-120g,FOOD AND NON-ALCOHOLIC BEVERAGES,SupermarketCy
Serano Raisins 300g,Dried fruit and nuts,https://www.supermarketcy.com.cy/en/serano-raisins-300g,FOOD AND NON-ALCOHOLIC BEVERAGES,SupermarketCy
Serano Raw Cashew Nuts 140g,Dried fruit and nuts,https://www.supermarketcy.com.cy/en/serano-raw-cashew-nuts-140g,FOOD AND NON-ALCOHOLIC BEVERAGES,SupermarketCy
Livadioti Walnuts 140g,Dried fruit and nuts,https://www.supermarketcy.com.cy/en/livadioti-walnuts-140g,FOOD AND NON-ALCOHOLIC BEVERAGES,SupermarketCy
Livadioti Dried Figs 300g,Dried fruit and nuts,https://www.supermarketcy.com.cy/en/livadioti-dried-figs-300g,FOOD AND NON-ALCOHOLIC BEVERAGES,SupermarketCy
Karpos Apo Ti Gi Mas Dried Prunes With Pit 400g,Dried fruit and nuts,https://www.supermarketcy.com.cy/en/karpos-apo-ti-gi-mas-dried-prunes-with-pit-400g,FOOD AND NON-ALCOHOLIC BEVERAGES,SupermarketCy
Mesogeios Baked Beans In Tomato Sauce 400g,"Dried vegetables, other preserved or processed vegetables",https://www.supermarketcy.com.cy/en/mesogeios-baked-beans-in-tomato-sauce-400g,FOOD AND NON-ALCOHOLIC BEVERAGES,SupermarketCy
Mesogeios Sweet Corn 340g,"Dried vegetables, other preserved or processed vegetables",https://www.supermarketcy.com.cy/en/mesogeios-sweet-corn-340g,FOOD AND NON-ALCOHOLIC BEVERAGES,SupermarketCy
Mesogeios White Beans 400g,"Dried vegetables, other preserved or processed vegetables",https://www.supermarketcy.com.cy/en/mesogeios-white-beans-400g,FOOD AND NON-ALCOHOLIC BEVERAGES,SupermarketCy
Mesogeios Red Kidney Beans 400g,"Dried vegetables, other preserved or processed vegetables",https://www.supermarketcy.com.cy/en/mesogeios-red-kidney-beans-400g,FOOD AND NON-ALCOHOLIC BEVERAGES,SupermarketCy
Mesogeios Chick Peas 400g,"Dried vegetables, other preserved or processed vegetables",https://www.supermarketcy.com.cy/en/mesogeios-chick-peas-400g,FOOD AND NON-ALCOHOLIC BEVERAGES,SupermarketCy
Mesogeios Whole Mushrooms 400g,"Dried vegetables, other preserved or processed vegetables",https://www.supermarketcy.com.cy/en/mesogeios-whole-mushrooms-400g,FOOD AND NON-ALCOHOLIC BEVERAGES,SupermarketCy
Snack Ham Slices 500g,"Dried, salted or smoked meat",https://www.supermarketcy.com.cy/en/snack-ham-slices-500g,FOOD AND NON-ALCOHOLIC BEVERAGES,SupermarketCy
Grigoriou Smoked Turkey Slices 200g,"Dried, salted or smoked meat",https://www.supermarketcy.com.cy/en/grigoriou-smoked-turkey-slices-200g-1,FOOD AND NON-ALCOHOLIC BEVERAGES,SupermarketCy
