Date,Division,CPI Division,Daily Change (%)
2025-05-07,HEALTH,100.3829,0.0
2025-05-07,"HOUSING, WATER, ELECTRICITY, GAS AND OTHER FUELS",96.9258,0.0
2025-05-07,INFORMATION AND COMMUNICATION,100.39,0.0
2025-05-07,"PERSONAL CARE, SOCIAL PROTECTION AND MISCELLANEOUS GOODS AND SERVICES",100.432,0.0
2025-05-07,"RECREATION, SPORT AND CULTURE",100.3534,0.0
2025-05-07,RESTAURANTS AND ACCOMODATION SERVICES,95.7752,0.0
2025-05-07,TRANSPORT,100.8947,0.0
2025-05-08,"ALCOHOLIC BEVERAGES, TOBACCO AND NARCOTICS",101.4926,0.0
2025-05-08,CLOTHING AND FOOTWEAR,103.3136,0.0
2025-05-08,EDUCATION SERVICES,99.4187,0.0
2025-05-08,FOOD AND NON-ALCOHOLIC BEVERAGES,102.0062,-0.2244
2025-05-08,"FURNISHINGS, HOUSEHOLD EQUIPMENT AND ROUTINE HOUSEHOLD MAINTENANCE",97.3691,-0.1432
2025-05-08,HEALTH,100.3829,0.0
2025-05-08,"HOUSING, WATER, ELECTRICITY, GAS AND OTHER FUELS",96.9219,-0.004
2025-05-08,INFORMATION AND COMMUNICATION,100.39,0.0
2025-05-08,"PERSONAL CARE, SOCIAL PROTECTION AND MISCELLANEOUS GOODS AND SERVICES",100.432,0.0
2025-05-08,"RECREATION, SPORT AND CULTURE",100.3534,0.0
2025-05-08,RESTAURANTS AND ACCOMODATION SERVICES,95.7752,0.0
2025-05-08,TRANSPORT,100.8947,0.0
2025-05-09,"ALCOHOLIC BEVERAGES, TOBACCO AND NARCOTICS",101.4926,0.0
2025-05-09,CLOTHING AND FOOTWEAR,103.3136,0.0
2025-05-09,EDUCATION SERVICES,99.4187,0.0
2025-05-09,FOOD AND NON-ALCOHOLIC BEVERAGES,102.0379,0.0311
2025-05-09,"FURNISHINGS, HOUSEHOLD EQUIPMENT AND ROUTINE HOUSEHOLD MAINTENANCE",97.3691,0.0
2025-05-09,HEALTH,100.3829,0.0
2025-05-09,"HOUSING, WATER, ELECTRICITY, GAS AND OTHER FUELS",96.9219,0.0
2025-05-09,INFORMATION AND COMMUNICATION,100.39,0.0
2025-05-09,"PERSONAL CARE, SOCIAL PROTECTION AND MISCELLANEOUS GOODS AND SERVICES",100.432,0.0
2025-05-09,"RECREATION, SPORT AND CULTURE",100.3534,0.0
2025-05-09,RESTAURANTS AND ACCOMODATION SERVICES,95.7752,0.0
2025-05-09,TRANSPORT,100.8947,0.0
2025-05-10,"ALCOHOLIC BEVERAGES, TOBACCO AND NARCOTICS",101.4926,0.0
2025-05-10,CLOTHING AND FOOTWEAR,103.3136,0.0
2025-05-10,EDUCATION SERVICES,99.4187,0.0
2025-05-10,FOOD AND NON-ALCOHOLIC BEVERAGES,102.0379,0.0
2025-05-10,"FURNISHINGS, HOUSEHOLD EQUIPMENT AND ROUTINE HOUSEHOLD MAINTENANCE",97.3691,0.0
2025-05-10,HEALTH,100.3829,0.0
2025-05-10,"HOUSING, WATER, ELECTRICITY, GAS AND OTHER FUELS",96.9193,-0.0026
2025-05-10,INFORMATION AND COMMUNICATION,100.39,0.0
2025-05-10,"PERSONAL CARE, SOCIAL PROTECTION AND MISCELLANEOUS GOODS AND SERVICES",100.3058,-0.1256
2025-05-10,"RECREATION, SPORT AND CULTURE",99.004,-1.3447
2025-05-10,RESTAURANTS AND ACCOMODATION SERVICES,96.0776,0.3158
2025-05-10,TRANSPORT,100.8947,0.0
2025-05-11,"ALCOHOLIC BEVERAGES, TOBACCO AND NARCOTICS",101.4926,0.0
2025-05-11,CLOTHING AND FOOTWEAR,103.1993,-0.1106
2025-05-11,EDUCATION SERVICES,99.4187,0.0
2025-05-11,FOOD AND NON-ALCOHOLIC BEVERAGES,102.0379,0.0
2025-05-11,"FURNISHINGS, HOUSEHOLD EQUIPMENT AND ROUTINE HOUSEHOLD MAINTENANCE",97.3691,0.0
2025-05-11,HEALTH,100.3829,0.0
2025-05-11,"HOUSING, WATER, ELECTRICITY, GAS AND OTHER FUELS",96.9193,0.0
2025-05-11,INFORMATION AND COMMUNICATION,100.39,0.0
2025-05-11,"PERSONAL CARE, SOCIAL PROTECTION AND MISCELLANEOUS GOODS AND SERVICES",100.3058,0.0
2025-05-11,"RECREATION, SPORT AND CULTURE",100.3534,1.363
2025-05-11,RESTAURANTS AND ACCOMODATION SERVICES,96.0776,0.0
2025-05-11,TRANSPORT,100.8947,0.0
2025-05-12,"ALCOHOLIC BEVERAGES, TOBACCO AND NARCOTICS",101.4926,0.0
2025-05-12,CLOTHING AND FOOTWEAR,103.1993,0.0
2025-05-12,EDUCATION SERVICES,99.4187,0.0
2025-05-12,FOOD AND NON-ALCOHOLIC BEVERAGES,102.0379,0.0
2025-05-12,"FURNISHINGS, HOUSEHOLD EQUIPMENT AND ROUTINE HOUSEHOLD MAINTENANCE",97.3691,0.0
2025-05-12,HEALTH,100.3829,0.0
2025-05-12,"HOUSING, WATER, ELECTRICITY, GAS AND OTHER FUELS",96.8985,-0.0215
2025-05-12,INFORMATION AND COMMUNICATION,100.39,0.0
2025-05-12,"PERSONAL CARE, SOCIAL PROTECTION AND MISCELLANEOUS GOODS AND SERVICES",100.3058,0.0
2025-05-12,"RECREATION, SPORT AND CULTURE",100.3534,0.0
2025-05-12,RESTAURANTS AND ACCOMODATION SERVICES,96.0776,0.0
2025-05-12,TRANSPORT,100.8946,-0.0001
2025-05-13,"ALCOHOLIC BEVERAGES, TOBACCO AND NARCOTICS",101.4926,0.0
2025-05-13,CLOTHING AND FOOTWEAR,103.1993,0.0
2025-05-13,EDUCATION SERVICES,99.4187,0.0
2025-05-13,FOOD AND NON-ALCOHOLIC BEVERAGES,102.0379,0.0
2025-05-13,"FURNISHINGS, HOUSEHOLD EQUIPMENT AND ROUTINE HOUSEHOLD MAINTENANCE",97.3935,0.0251
2025-05-13,HEALTH,100.3829,0.0
2025-05-13,"HOUSING, WATER, ELECTRICITY, GAS AND OTHER FUELS",96.8985,0.0
2025-05-13,INFORMATION AND COMMUNICATION,100.39,0.0
2025-05-13,"PERSONAL CARE, SOCIAL PROTECTION AND MISCELLANEOUS GOODS AND SERVICES",100.3058,0.0
2025-05-13,"RECREATION, SPORT AND CULTURE",100.3534,0.0
2025-05-13,RESTAURANTS AND ACCOMODATION SERVICES,96.0776,0.0
2025-05-13,TRANSPORT,100.8946,0.0
2025-05-14,"ALCOHOLIC BEVERAGES, TOBACCO AND NARCOTICS",101.4926,0.0
2025-05-14,CLOTHING AND FOOTWEAR,103.1993,0.0
2025-05-14,EDUCATION SERVICES,99.4187,0.0
2025-05-14,FOOD AND NON-ALCOHOLIC BEVERAGES,102.0379,0.0
2025-05-14,"FURNISHINGS, HOUSEHOLD EQUIPMENT AND ROUTINE HOUSEHOLD MAINTENANCE",97.3324,-0.0627
2025-05-14,HEALTH,100.3829,0.0
2025-05-14,"HOUSING, WATER, ELECTRICITY, GAS AND OTHER FUELS",96.8946,-0.004
2025-05-14,INFORMATION AND COMMUNICATION,100.39,0.0
2025-05-14,"PERSONAL CARE, SOCIAL PROTECTION AND MISCELLANEOUS GOODS AND SERVICES",100.3058,0.0
2025-05-14,"RECREATION, SPORT AND CULTURE",100.3534,0.0
2025-05-14,RESTAURANTS AND ACCOMODATION SERVICES,96.0776,0.0
2025-05-14,TRANSPORT,100.8946,0.0
2025-05-15,"ALCOHOLIC BEVERAGES, TOBACCO AND NARCOTICS",101.4926,0.0
2025-05-15,CLOTHING AND FOOTWEAR,103.1993,0.0
2025-05-15,EDUCATION SERVICES,99.4187,0.0
2025-05-15,FOOD AND NON-ALCOHOLIC BEVERAGES,101.9753,-0.0613
2025-05-15,"FURNISHINGS, HOUSEHOLD EQUIPMENT AND ROUTINE HOUSEHOLD MAINTENANCE",97.3691,0.0377
2025-05-15,HEALTH,100.3829,0.0
2025-05-15,"HOUSING, WATER, ELECTRICITY, GAS AND OTHER FUELS",96.8946,0.0
2025-05-15,INFORMATION AND COMMUNICATION,100.39,0.0
2025-05-15,"PERSONAL CARE, SOCIAL PROTECTION AND MISCELLANEOUS GOODS AND SERVICES",100.3058,0.0
2025-05-15,"RECREATION, SPORT AND CULTURE",100.3534,0.0
2025-05-15,RESTAURANTS AND ACCOMODATION SERVICES,96.0776,0.0
2025-05-15,TRANSPORT,100.8946,0.0
2025-05-16,"ALCOHOLIC BEVERAGES, TOBACCO AND NARCOTICS",101.4926,0.0
2025-05-16,CLOTHING AND FOOTWEAR,103.1993,0.0
2025-05-16,EDUCATION SERVICES,99.4187,0.0
2025-05-16,FOOD AND NON-ALCOHOLIC BEVERAGES,101.9753,0.0
2025-05-16,"FURNISHINGS, HOUSEHOLD EQUIPMENT AND ROUTINE HOUSEHOLD MAINTENANCE",97.3691,0.0
2025-05-16,HEALTH,100.3829,0.0
2025-05-16,"HOUSING, WATER, ELECTRICITY, GAS AND OTHER FUELS",96.8934,-0.0013
2025-05-16,INFORMATION AND COMMUNICATION,100.39,0.0
2025-05-16,"PERSONAL CARE, SOCIAL PROTECTION AND MISCELLANEOUS GOODS AND SERVICES",100.3058,0.0
2025-05-16,"RECREATION, SPORT AND CULTURE",100.3534,0.0
2025-05-16,RESTAURANTS AND ACCOMODATION SERVICES,96.0776,0.0
2025-05-16,TRANSPORT,100.8946,0.0
2025-05-17,"ALCOHOLIC BEVERAGES, TOBACCO AND NARCOTICS",101.4926,0.0
2025-05-17,CLOTHING AND FOOTWEAR,103.1993,0.0
2025-05-17,EDUCATION SERVICES,99.4187,0.0
2025-05-17,FOOD AND NON-ALCOHOLIC BEVERAGES,101.9753,0.0
2025-05-17,"FURNISHINGS, HOUSEHOLD EQUIPMENT AND ROUTINE HOUSEHOLD MAINTENANCE",97.3691,0.0
2025-05-17,HEALTH,100.3829,0.0
2025-05-17,"HOUSING, WATER, ELECTRICITY, GAS AND OTHER FUELS",96.8934,0.0
2025-05-17,INFORMATION AND COMMUNICATION,100.39,0.0
2025-05-17,"PERSONAL CARE, SOCIAL PROTECTION AND MISCELLANEOUS GOODS AND SERVICES",100.3058,0.0
2025-05-17,"RECREATION, SPORT AND CULTURE",100.3534,0.0
2025-05-17,RESTAURANTS AND ACCOMODATION SERVICES,96.0776,0.0
2025-05-17,TRANSPORT,100.8946,0.0
2025-05-18,"ALCOHOLIC BEVERAGES, TOBACCO AND NARCOTICS",101.4926,0.0
2025-05-18,CLOTHING AND FOOTWEAR,103.1993,0.0
2025-05-18,EDUCATION SERVICES,99.4187,0.0
2025-05-18,FOOD AND NON-ALCOHOLIC BEVERAGES,101.9753,0.0
2025-05-18,"FURNISHINGS, HOUSEHOLD EQUIPMENT AND ROUTINE HOUSEHOLD MAINTENANCE",97.3691,0.0
2025-05-18,HEALTH,100.3829,0.0
2025-05-18,"HOUSING, WATER, ELECTRICITY, GAS AND OTHER FUELS",96.8934,0.0
2025-05-18,INFORMATION AND COMMUNICATION,100.39,0.0
2025-05-18,"PERSONAL CARE, SOCIAL PROTECTION AND MISCELLANEOUS GOODS AND SERVICES",100.3058,0.0
2025-05-18,"RECREATION, SPORT AND CULTURE",100.3534,0.0
2025-05-18,RESTAURANTS AND ACCOMODATION SERVICES,96.0776,0.0
2025-05-18,TRANSPORT,100.8946,0.0
2025-05-19,"ALCOHOLIC BEVERAGES, TOBACCO AND NARCOTICS",101.4926,0.0
2025-05-19,CLOTHING AND FOOTWEAR,103.1993,0.0
2025-05-19,EDUCATION SERVICES,99.4187,0.0
2025-05-19,FOOD AND NON-ALCOHOLIC BEVERAGES,102.0089,0.033
2025-05-19,"FURNISHINGS, HOUSEHOLD EQUIPMENT AND ROUTINE HOUSEHOLD MAINTENANCE",96.8872,-0.4949
2025-05-19,HEALTH,100.3829,0.0
2025-05-19,"HOUSING, WATER, ELECTRICITY, GAS AND OTHER FUELS",96.892,-0.0014
2025-05-19,INFORMATION AND COMMUNICATION,100.39,0.0
2025-05-19,"PERSONAL CARE, SOCIAL PROTECTION AND MISCELLANEOUS GOODS AND SERVICES",100.3058,0.0
2025-05-19,"RECREATION, SPORT AND CULTURE",100.3534,0.0
2025-05-19,RESTAURANTS AND ACCOMODATION SERVICES,96.0776,0.0
2025-05-19,TRANSPORT,100.8946,0.0
2025-05-20,"ALCOHOLIC BEVERAGES, TOBACCO AND NARCOTICS",101.4926,0.0
2025-05-20,CLOTHING AND FOOTWEAR,103.1993,0.0
2025-05-20,EDUCATION SERVICES,99.4187,0.0
2025-05-20,FOOD AND NON-ALCOHOLIC BEVERAGES,102.0089,0.0
2025-05-20,"FURNISHINGS, HOUSEHOLD EQUIPMENT AND ROUTINE HOUSEHOLD MAINTENANCE",97.5925,0.728
2025-05-20,HEALTH,100.3829,0.0
2025-05-20,"HOUSING, WATER, ELECTRICITY, GAS AND OTHER FUELS",96.892,0.0
2025-05-20,INFORMATION AND COMMUNICATION,100.39,0.0
2025-05-20,"PERSONAL CARE, SOCIAL PROTECTION AND MISCELLANEOUS GOODS AND SERVICES",100.3058,0.0
2025-05-20,"RECREATION, SPORT AND CULTURE",100.3534,0.0
2025-05-20,RESTAURANTS AND ACCOMODATION SERVICES,96.0776,0.0
2025-05-20,TRANSPORT,100.8946,0.0
2025-05-21,"ALCOHOLIC BEVERAGES, TOBACCO AND NARCOTICS",101.4926,0.0
2025-05-21,CLOTHING AND FOOTWEAR,103.1993,0.0
2025-05-21,EDUCATION SERVICES,99.4187,0.0
2025-05-21,FOOD AND NON-ALCOHOLIC BEVERAGES,102.0089,0.0
2025-05-21,"FURNISHINGS, HOUSEHOLD EQUIPMENT AND ROUTINE HOUSEHOLD MAINTENANCE",97.5925,0.0
2025-05-21,HEALTH,100.3829,0.0
2025-05-21,"HOUSING, WATER, ELECTRICITY, GAS AND OTHER FUELS",96.892,0.0
2025-05-21,INFORMATION AND COMMUNICATION,100.39,0.0
2025-05-21,"PERSONAL CARE, SOCIAL PROTECTION AND MISCELLANEOUS GOODS AND SERVICES",100.3058,0.0
2025-05-21,"RECREATION, SPORT AND CULTURE",100.3534,0.0
2025-05-21,RESTAURANTS AND ACCOMODATION SERVICES,96.0776,0.0
2025-05-21,TRANSPORT,100.8946,0.0
2025-05-22,"ALCOHOLIC BEVERAGES, TOBACCO AND NARCOTICS",101.4926,0.0
2025-05-22,CLOTHING AND FOOTWEAR,103.1993,0.0
2025-05-22,EDUCATION SERVICES,99.4187,0.0
2025-05-22,FOOD AND NON-ALCOHOLIC BEVERAGES,101.8953,-0.1114
2025-05-22,"FURNISHINGS, HOUSEHOLD EQUIPMENT AND ROUTINE HOUSEHOLD MAINTENANCE",97.5925,0.0
2025-05-22,HEALTH,100.3829,0.0
2025-05-22,"HOUSING, WATER, ELECTRICITY, GAS AND OTHER FUELS",96.892,0.0
2025-05-22,INFORMATION AND COMMUNICATION,100.39,0.0
2025-05-22,"PERSONAL CARE, SOCIAL PROTECTION AND MISCELLANEOUS GOODS AND SERVICES",100.3058,0.0
2025-05-22,"RECREATION, SPORT AND CULTURE",100.3534,0.0
2025-05-22,RESTAURANTS AND ACCOMODATION SERVICES,96.0776,0.0
2025-05-22,TRANSPORT,100.8946,0.0
2025-05-23,"ALCOHOLIC BEVERAGES, TOBACCO AND NARCOTICS",101.4926,0.0
2025-05-23,CLOTHING AND FOOTWEAR,103.1993,0.0
2025-05-23,EDUCATION SERVICES,99.4187,0.0
2025-05-23,FOOD AND NON-ALCOHOLIC BEVERAGES,102.0464,0.1483
2025-05-23,"FURNISHINGS, HOUSEHOLD EQUIPMENT AND ROUTINE HOUSEHOLD MAINTENANCE",97.5925,0.0
2025-05-23,HEALTH,100.3829,0.0
2025-05-23,"HOUSING, WATER, ELECTRICITY, GAS AND OTHER FUELS",96.892,0.0
2025-05-23,INFORMATION AND COMMUNICATION,100.39,0.0
2025-05-23,"PERSONAL CARE, SOCIAL PROTECTION AND MISCELLANEOUS GOODS AND SERVICES",100.3058,0.0
2025-05-23,"RECREATION, SPORT AND CULTURE",100.3534,0.0
2025-05-23,RESTAURANTS AND ACCOMODATION SERVICES,96.0776,0.0
2025-05-23,TRANSPORT,100.8946,0.0
2025-05-24,"ALCOHOLIC BEVERAGES, TOBACCO AND NARCOTICS",101.4926,0.0
2025-05-24,CLOTHING AND FOOTWEAR,103.1993,0.0
2025-05-24,EDUCATION SERVICES,99.4187,0.0
2025-05-24,FOOD AND NON-ALCOHOLIC BEVERAGES,102.0464,0.0
2025-05-24,"FURNISHINGS, HOUSEHOLD EQUIPMENT AND ROUTINE HOUSEHOLD MAINTENANCE",97.5925,0.0
2025-05-24,HEALTH,100.3829,0.0
2025-05-24,"HOUSING, WATER, ELECTRICITY, GAS AND OTHER FUELS",96.892,0.0
2025-05-24,INFORMATION AND COMMUNICATION,100.39,0.0
2025-05-24,"PERSONAL CARE, SOCIAL PROTECTION AND MISCELLANEOUS GOODS AND SERVICES",100.3058,0.0
2025-05-24,"RECREATION, SPORT AND CULTURE",100.3534,0.0
2025-05-24,RESTAURANTS AND ACCOMODATION SERVICES,96.0776,0.0
2025-05-24,TRANSPORT,100.8946,0.0
2025-05-25,"ALCOHOLIC BEVERAGES, TOBACCO AND NARCOTICS",101.4926,0.0
2025-05-25,CLOTHING AND FOOTWEAR,103.1993,0.0
2025-05-25,EDUCATION SERVICES,99.4187,0.0
2025-05-25,FOOD AND NON-ALCOHOLIC BEVERAGES,102.0464,0.0
2025-05-25,"FURNISHINGS, HOUSEHOLD EQUIPMENT AND ROUTINE HOUSEHOLD MAINTENANCE",97.5925,0.0
2025-05-25,HEALTH,100.3829,0.0
2025-05-25,"HOUSING, WATER, ELECTRICITY, GAS AND OTHER FUELS",96.892,0.0
2025-05-25,INFORMATION AND COMMUNICATION,100.39,0.0
2025-05-25,"PERSONAL CARE, SOCIAL PROTECTION AND MISCELLANEOUS GOODS AND SERVICES",100.3058,0.0
2025-05-25,"RECREATION, SPORT AND CULTURE",100.3534,0.0
2025-05-25,RESTAURANTS AND ACCOMODATION SERVICES,96.0776,0.0
2025-05-25,TRANSPORT,100.8946,0.0
2025-05-26,"ALCOHOLIC BEVERAGES, TOBACCO AND NARCOTICS",101.4926,0.0
2025-05-26,CLOTHING AND FOOTWEAR,103.4177,0.2116
2025-05-26,EDUCATION SERVICES,99.4187,0.0
2025-05-26,FOOD AND NON-ALCOHOLIC BEVERAGES,102.0464,0.0
2025-05-26,"FURNISHINGS, HOUSEHOLD EQUIPMENT AND ROUTINE HOUSEHOLD MAINTENANCE",97.5925,0.0
2025-05-26,HEALTH,100.3829,0.0
2025-05-26,"HOUSING, WATER, ELECTRICITY, GAS AND OTHER FUELS",96.8895,-0.0026
2025-05-26,INFORMATION AND COMMUNICATION,100.39,0.0
2025-05-26,"PERSONAL CARE, SOCIAL PROTECTION AND MISCELLANEOUS GOODS AND SERVICES",100.3058,0.0
2025-05-26,"RECREATION, SPORT AND CULTURE",100.3534,0.0
2025-05-26,RESTAURANTS AND ACCOMODATION SERVICES,96.0776,0.0
2025-05-26,TRANSPORT,100.8946,0.0
2025-05-27,"ALCOHOLIC BEVERAGES, TOBACCO AND NARCOTICS",101.4926,0.0
2025-05-27,CLOTHING AND FOOTWEAR,103.4177,0.0
2025-05-27,EDUCATION SERVICES,99.4187,0.0
2025-05-27,FOOD AND NON-ALCOHOLIC BEVERAGES,102.0464,0.0
2025-05-27,"FURNISHINGS, HOUSEHOLD EQUIPMENT AND ROUTINE HOUSEHOLD MAINTENANCE",97.5925,0.0
2025-05-27,HEALTH,100.3829,0.0
2025-05-27,"HOUSING, WATER, ELECTRICITY, GAS AND OTHER FUELS",96.8895,0.0
2025-05-27,INFORMATION AND COMMUNICATION,100.39,0.0
2025-05-27,"PERSONAL CARE, SOCIAL PROTECTION AND MISCELLANEOUS GOODS AND SERVICES",100.3058,0.0
2025-05-27,"RECREATION, SPORT AND CULTURE",100.3596,0.0062
2025-05-27,RESTAURANTS AND ACCOMODATION SERVICES,96.0776,0.0
2025-05-27,TRANSPORT,100.8946,0.0
2025-05-28,"ALCOHOLIC BEVERAGES, TOBACCO AND NARCOTICS",101.4926,0.0
2025-05-28,CLOTHING AND FOOTWEAR,103.4177,0.0
2025-05-28,EDUCATION SERVICES,99.4187,0.0
2025-05-28,FOOD AND NON-ALCOHOLIC BEVERAGES,102.0425,-0.0039
2025-05-28,"FURNISHINGS, HOUSEHOLD EQUIPMENT AND ROUTINE HOUSEHOLD MAINTENANCE",97.5925,0.0
2025-05-28,HEALTH,100.3829,0.0
2025-05-28,"HOUSING, WATER, ELECTRICITY, GAS AND OTHER FUELS",96.8782,-0.0116
2025-05-28,INFORMATION AND COMMUNICATION,100.39,0.0
2025-05-28,"PERSONAL CARE, SOCIAL PROTECTION AND MISCELLANEOUS GOODS AND SERVICES",100.3058,0.0
2025-05-28,"RECREATION, SPORT AND CULTURE",100.3596,0.0
2025-05-28,RESTAURANTS AND ACCOMODATION SERVICES,96.0776,0.0
2025-05-28,TRANSPORT,100.8946,0.0
2025-05-29,"ALCOHOLIC BEVERAGES, TOBACCO AND NARCOTICS",101.4926,0.0
2025-05-29,CLOTHING AND FOOTWEAR,103.4177,0.0
2025-05-29,EDUCATION SERVICES,99.4187,0.0
2025-05-29,FOOD AND NON-ALCOHOLIC BEVERAGES,102.0425,0.0
2025-05-29,"FURNISHINGS, HOUSEHOLD EQUIPMENT AND ROUTINE HOUSEHOLD MAINTENANCE",97.5925,0.0
2025-05-29,HEALTH,100.3829,0.0
2025-05-29,"HOUSING, WATER, ELECTRICITY, GAS AND OTHER FUELS",96.8781,-0.0001
2025-05-29,INFORMATION AND COMMUNICATION,100.39,0.0
2025-05-29,"PERSONAL CARE, SOCIAL PROTECTION AND MISCELLANEOUS GOODS AND SERVICES",100.3058,0.0
2025-05-29,"RECREATION, SPORT AND CULTURE",100.3596,0.0
2025-05-29,RESTAURANTS AND ACCOMODATION SERVICES,96.0776,0.0
2025-05-29,TRANSPORT,100.8946,0.0
2025-05-30,"ALCOHOLIC BEVERAGES, TOBACCO AND NARCOTICS",101.4926,0.0
2025-05-30,CLOTHING AND FOOTWEAR,103.4177,0.0
2025-05-30,EDUCATION SERVICES,99.4187,0.0
2025-05-30,FOOD AND NON-ALCOHOLIC BEVERAGES,101.7714,-0.2657
2025-05-30,"FURNISHINGS, HOUSEHOLD EQUIPMENT AND ROUTINE HOUSEHOLD MAINTENANCE",97.5925,0.0
2025-05-30,HEALTH,100.3829,0.0
2025-05-30,"HOUSING, WATER, ELECTRICITY, GAS AND OTHER FUELS",96.878,-0.0001
2025-05-30,INFORMATION AND COMMUNICATION,100.39,0.0
2025-05-30,"PERSONAL CARE, SOCIAL PROTECTION AND MISCELLANEOUS GOODS AND SERVICES",100.3058,0.0
2025-05-30,"RECREATION, SPORT AND CULTURE",100.0339,-0.3245
2025-05-30,RESTAURANTS AND ACCOMODATION SERVICES,96.0776,0.0
2025-05-30,TRANSPORT,100.8946,0.0
2025-05-31,"ALCOHOLIC BEVERAGES, TOBACCO AND NARCOTICS",101.4926,0.0
2025-05-31,CLOTHING AND FOOTWEAR,103.4177,0.0
2025-05-31,EDUCATION SERVICES,99.4187,0.0
2025-05-31,FOOD AND NON-ALCOHOLIC BEVERAGES,101.7714,0.0
2025-05-31,"FURNISHINGS, HOUSEHOLD EQUIPMENT AND ROUTINE HOUSEHOLD MAINTENANCE",97.5925,0.0
2025-05-31,HEALTH,100.3829,0.0
2025-05-31,"HOUSING, WATER, ELECTRICITY, GAS AND OTHER FUELS",96.8783,0.0003
2025-05-31,INFORMATION AND COMMUNICATION,100.39,0.0
2025-05-31,"PERSONAL CARE, SOCIAL PROTECTION AND MISCELLANEOUS GOODS AND SERVICES",100.3058,0.0
2025-05-31,"RECREATION, SPORT AND CULTURE",100.0339,0.0
2025-05-31,RESTAURANTS AND ACCOMODATION SERVICES,96.0776,0.0
2025-05-31,TRANSPORT,100.8946,0.0
2025-06-01,"ALCOHOLIC BEVERAGES, TOBACCO AND NARCOTICS",101.4926,0.0
2025-06-01,CLOTHING AND FOOTWEAR,102.1062,-1.2682
2025-06-01,EDUCATION SERVICES,99.4187,0.0
2025-06-01,FOOD AND NON-ALCOHOLIC BEVERAGES,101.7714,0.0
2025-06-01,"FURNISHINGS, HOUSEHOLD EQUIPMENT AND ROUTINE HOUSEHOLD MAINTENANCE",97.5925,0.0
2025-06-01,HEALTH,100.3829,0.0
2025-06-01,"HOUSING, WATER, ELECTRICITY, GAS AND OTHER FUELS",96.8784,0.0001
2025-06-01,INFORMATION AND COMMUNICATION,100.39,0.0
2025-06-01,"PERSONAL CARE, SOCIAL PROTECTION AND MISCELLANEOUS GOODS AND SERVICES",100.3058,0.0
2025-06-01,"RECREATION, SPORT AND CULTURE",100.0339,0.0
2025-06-01,RESTAURANTS AND ACCOMODATION SERVICES,96.0776,0.0
2025-06-01,TRANSPORT,100.4444,-0.4462
2025-06-02,"ALCOHOLIC BEVERAGES, TOBACCO AND NARCOTICS",101.4926,0.0
2025-06-02,CLOTHING AND FOOTWEAR,102.1062,0.0
2025-06-02,EDUCATION SERVICES,99.4187,0.0
2025-06-02,FOOD AND NON-ALCOHOLIC BEVERAGES,101.7714,0.0
2025-06-02,"FURNISHINGS, HOUSEHOLD EQUIPMENT AND ROUTINE HOUSEHOLD MAINTENANCE",97.5312,-0.0628
2025-06-02,HEALTH,100.3829,0.0
2025-06-02,"HOUSING, WATER, ELECTRICITY, GAS AND OTHER FUELS",96.8781,-0.0003
2025-06-02,INFORMATION AND COMMUNICATION,100.39,0.0
2025-06-02,"PERSONAL CARE, SOCIAL PROTECTION AND MISCELLANEOUS GOODS AND SERVICES",100.3058,0.0
2025-06-02,"RECREATION, SPORT AND CULTURE",100.0339,0.0
2025-06-02,RESTAURANTS AND ACCOMODATION SERVICES,96.0776,0.0
2025-06-02,TRANSPORT,100.4443,-0.0001
2025-06-03,"ALCOHOLIC BEVERAGES, TOBACCO AND NARCOTICS",101.6267,0.1321
2025-06-03,CLOTHING AND FOOTWEAR,102.1062,0.0
2025-06-03,EDUCATION SERVICES,99.4187,0.0
2025-06-03,FOOD AND NON-ALCOHOLIC BEVERAGES,101.9057,0.132
2025-06-03,"FURNISHINGS, HOUSEHOLD EQUIPMENT AND ROUTINE HOUSEHOLD MAINTENANCE",97.5312,0.0
2025-06-03,HEALTH,100.3829,0.0
2025-06-03,"HOUSING, WATER, ELECTRICITY, GAS AND OTHER FUELS",96.8777,-0.0004
2025-06-03,INFORMATION AND COMMUNICATION,100.39,0.0
2025-06-03,"PERSONAL CARE, SOCIAL PROTECTION AND MISCELLANEOUS GOODS AND SERVICES",100.3058,0.0
2025-06-03,"RECREATION, SPORT AND CULTURE",100.0339,0.0
2025-06-03,RESTAURANTS AND ACCOMODATION SERVICES,96.0776,0.0
2025-06-03,TRANSPORT,100.4444,0.0001
2025-06-04,"ALCOHOLIC BEVERAGES, TOBACCO AND NARCOTICS",101.6267,0.0
2025-06-04,CLOTHING AND FOOTWEAR,102.1062,0.0
2025-06-04,EDUCATION SERVICES,99.4187,0.0
2025-06-04,FOOD AND NON-ALCOHOLIC BEVERAGES,101.9057,0.0
2025-06-04,"FURNISHINGS, HOUSEHOLD EQUIPMENT AND ROUTINE HOUSEHOLD MAINTENANCE",97.5312,0.0
2025-06-04,HEALTH,100.3829,0.0
2025-06-04,"HOUSING, WATER, ELECTRICITY, GAS AND OTHER FUELS",96.8775,-0.0002
2025-06-04,INFORMATION AND COMMUNICATION,100.39,0.0
2025-06-04,"PERSONAL CARE, SOCIAL PROTECTION AND MISCELLANEOUS GOODS AND SERVICES",100.3058,0.0
2025-06-04,"RECREATION, SPORT AND CULTURE",100.0339,0.0
2025-06-04,RESTAURANTS AND ACCOMODATION SERVICES,96.0776,0.0
