Date,Division,CPI Division,Daily Change (%)
2024-07-07,INFORMATION AND COMMUNICATION,95.2753,0.0
2024-07-07,"PERSONAL CARE, SOCIAL PROTECTION AND MISCELLANEOUS GOODS AND SERVICES",101.1597,0.0
2024-07-07,"RECREATION, SPORT AND CULTURE",94.7375,0.0
2024-07-07,RESTAURANTS AND ACCOMODATION SERVICES,93.8908,0.0
2024-07-07,TRANSPORT,101.9446,0.0
2024-07-08,"ALCOHOLIC BEVERAGES, TOBACCO AND NARCOTICS",96.4728,-0.036
2024-07-08,CLOTHING AND FOOTWEAR,110.2842,0.0
2024-07-08,EDUCATION SERVICES,98.9399,0.0
2024-07-08,FOOD AND NON-ALCOHOLIC BEVERAGES,98.488,0.0
2024-07-08,"FURNISHINGS, HOUSEHOLD EQUIPMENT AND ROUTINE HOUSEHOLD MAINTENANCE",97.1947,0.0
2024-07-08,HEALTH,98.026,0.0
2024-07-08,"HOUSING, WATER, ELECTRICITY, GAS AND OTHER FUELS",97.2493,-0.0006
2024-07-08,INFORMATION AND COMMUNICATION,95.2753,0.0
2024-07-08,"PERSONAL CARE, SOCIAL PROTECTION AND MISCELLANEOUS GOODS AND SERVICES",101.1597,0.0
2024-07-08,"RECREATION, SPORT AND CULTURE",94.7375,0.0
2024-07-08,RESTAURANTS AND ACCOMODATION SERVICES,93.8908,0.0
2024-07-08,TRANSPORT,101.9445,-0.0001
2024-07-09,"ALCOHOLIC BEVERAGES, TOBACCO AND NARCOTICS",96.4728,0.0
2024-07-09,CLOTHING AND FOOTWEAR,110.2842,0.0
2024-07-09,EDUCATION SERVICES,98.9399,0.0
2024-07-09,FOOD AND NON-ALCOHOLIC BEVERAGES,98.488,0.0
2024-07-09,"FURNISHINGS, HOUSEHOLD EQUIPMENT AND ROUTINE HOUSEHOLD MAINTENANCE",97.1947,0.0
2024-07-09,HEALTH,98.026,0.0
2024-07-09,"HOUSING, WATER, ELECTRICITY, GAS AND OTHER FUELS",97.2494,0.0001
