Date,Division,Subclass,Price,Weight,Weight_Price_Subclass,Weight_Price_Division,CPI Division,Daily Change (%)
2026-06-24,"ALCOHOLIC BEVERAGES, TOBACCO AND NARCOTICS",Beer,5.726666666666667,0.008,0.0458133333333333,1.3746098,100.0,
2026-06-24,"ALCOHOLIC BEVERAGES, TOBACCO AND NARCOTICS",Cigarettes,36.2,0.0301,1.08962,1.3746098,100.0,
2026-06-24,"ALCOHOLIC BEVERAGES, TOBACCO AND NARCOTICS",Cigars,28.683333333333334,0.0005,0.0143416666666666,1.3746098,100.0,
2026-06-24,"ALCOHOLIC BEVERAGES, TOBACCO AND NARCOTICS",Other tobacco products,32.35,0.0041,0.132635,1.3746098,100.0,
2026-06-24,"ALCOHOLIC BEVERAGES, TOBACCO AND NARCOTICS",Spirits and liquors,14.326,0.0053,0.0759277999999999,1.3746098,100.0,
2026-06-24,"ALCOHOLIC BEVERAGES, TOBACCO AND NARCOTICS",Wine from grapes,3.39,0.0048,0.016272,1.3746098,100.0,
2026-06-24,INFORMATION AND COMMUNICATION,Bundled telecommunication services,21.095,0.011,0.2320449999999999,2.347684450474359,100.0,
2026-06-24,INFORMATION AND COMMUNICATION,"Computers, laptops and tablets",379.055,0.0026,0.985543,2.347684450474359,100.0,
2026-06-24,INFORMATION AND COMMUNICATION,"Equipment for the reception, recording and reproduction of sound and vision",70.41846153846154,0.0028,0.1971716923076923,2.347684450474359,100.0,
2026-06-24,INFORMATION AND COMMUNICATION,Fixed communication services,0.0369325,0.0006,2.21595e-05,2.347684450474359,100.0,
2026-06-24,INFORMATION AND COMMUNICATION,Internet access provision services and online storage services,30.495,0.0034,0.1036829999999999,2.347684450474359,100.0,
2026-06-24,INFORMATION AND COMMUNICATION,Mobile communication services,0.06943,0.0124,0.000860932,2.347684450474359,100.0,
2026-06-24,INFORMATION AND COMMUNICATION,Mobile telephone equipment,130.96666666666667,0.006,0.7858,2.347684450474359,100.0,
2026-06-24,INFORMATION AND COMMUNICATION,Other information and communication accessories,17.05333333333333,0.0004,0.0068213333333333,2.347684450474359,100.0,
2026-06-24,INFORMATION AND COMMUNICATION,Other information and communication equipment,32.61,0.0004,0.013044,2.347684450474359,100.0,
2026-06-24,INFORMATION AND COMMUNICATION,Peripheral equipment and its consumable components,18.46333333333333,0.0002,0.0036926666666666,2.347684450474359,100.0,
2026-06-24,INFORMATION AND COMMUNICATION,Subscriptions to audiovisual streaming services and rental of audiovisual content,10.74,0.0015,0.01611,2.347684450474359,100.0,
2026-06-24,INFORMATION AND COMMUNICATION,Unrecorded recording media,14.453333333333331,0.0002,0.0028906666666666,2.347684450474359,100.0,
2026-06-24,"RECREATION, SPORT AND CULTURE",Cameras,76.2225,0.0002,0.0152445,19.235940400150724,100.0,
2026-06-24,"RECREATION, SPORT AND CULTURE",Educational books and textbooks,13.614375,0.001,0.013614375,19.235940400150724,100.0,
