ECOICOP2 CODE,Subclass,Division,Weight
CP05611,Household cleaning and maintenance products,"FURNISHINGS, HOUSEHOLD EQUIPMENT AND ROUTINE HOUSEHOLD MAINTENANCE",0.0115
CP05619,Other non-durable household goods,"FURNISHINGS, HOUSEHOLD EQUIPMENT AND ROUTINE HOUSEHOLD MAINTENANCE",0.0056
CP05621,Domestic services provided by paid staff,"FURNISHINGS, HOUSEHOLD EQUIPMENT AND ROUTINE HOUSEHOLD MAINTENANCE",0
CP05629,Other household services,"FURNISHINGS, HOUSEHOLD EQUIPMENT AND ROUTINE HOUSEHOLD MAINTENANCE",0
CP06111,"Medicines, vaccines and other pharmaceutical preparations",HEALTH,0.0105
CP06112,Herbal medicines and homeopathic products,HEALTH,0.0004
CP06121,Medical diagnostic products,HEALTH,0.0002
CP06122,Preventive and protective devices,HEALTH,0
CP06123,Treatment devices for personal use,HEALTH,0.0002
CP06131,Assistive products for vision,HEALTH,0.001
CP06132,Assistive products for hearing and communication,HEALTH,0
CP06133,Assistive products for mobility and daily living,HEALTH,0
CP06211,Immunization services,HEALTH,0
CP06219,Other preventive care services,HEALTH,0
CP06221,Dental preventive services,HEALTH,0.0002
CP06229,Other outpatient dental services,HEALTH,0.0073
CP06231,Outpatient curative and rehabilitative services,HEALTH,0
CP06310,Inpatient curative and rehabilitative services,HEALTH,0
CP06320,Inpatient long-term care services,HEALTH,0
CP06410,Diagnostic imaging services and medical laboratory services,HEALTH,0
CP07111,New motor cars,TRANSPORT,0.0243
CP07112,Second-hand motor cars,TRANSPORT,0.0175
CP07120,Motorcycles,TRANSPORT,0.0011
CP07130,Bicycles,TRANSPORT,0.0002
CP07211,Tyres,TRANSPORT,0.0038
CP07212,Parts for personal transport equipment,TRANSPORT,0.0022
CP07213,Accessories for personal transport equipment,TRANSPORT,0.0004
CP07221,Diesel,TRANSPORT,0.0172
CP07222,Petrol,TRANSPORT,0.0424
CP07224,Lubricants,TRANSPORT,0.0027
CP07230,Maintenance and repair of personal transport equipment,TRANSPORT,0.0119
CP07241,Parking services,TRANSPORT,0
CP07243,"Driving lessons, tests, licences and roadworthiness tests",TRANSPORT,0.0014
CP07244,Hire of personal transport equipment without driver,TRANSPORT,0
CP07321,Passenger transport by bus and coach,TRANSPORT,0.0005
CP07322,Passenger transport by taxi and hired vehicle with driver,TRANSPORT,0.0006
CP07323,Passenger transport for students to and from school,TRANSPORT,0
CP07332,"Passenger transport by air, international",TRANSPORT,0
CP07411,Letter handling services,TRANSPORT,0.0002
CP07412,Courier and parcel delivery services,TRANSPORT,0.0007
CP07491,Removal and storage services,TRANSPORT,0
CP07492,Delivery of goods,TRANSPORT,0
CP08120,Mobile telephone equipment,INFORMATION AND COMMUNICATION,0.006
CP08131,"Computers, laptops and tablets",INFORMATION AND COMMUNICATION,0.0026
CP08132,Peripheral equipment and its consumable components,INFORMATION AND COMMUNICATION,0.0002
CP08140,"Equipment for the reception, recording and reproduction of sound and vision",INFORMATION AND COMMUNICATION,0.0028
CP08150,Unrecorded recording media,INFORMATION AND COMMUNICATION,0.0002
CP08191,Other information and communication equipment,INFORMATION AND COMMUNICATION,0.0004
CP08192,Other information and communication accessories,INFORMATION AND COMMUNICATION,0.0004
CP08310,Fixed communication services,INFORMATION AND COMMUNICATION,0.0006
CP08320,Mobile communication services,INFORMATION AND COMMUNICATION,0.0124
CP08330,Internet access provision services and online storage services,INFORMATION AND COMMUNICATION,0.0034
CP08340,Bundled telecommunication services,INFORMATION AND COMMUNICATION,0.011
CP08392,Subscriptions to audiovisual streaming services and rental of audiovisual content,INFORMATION AND COMMUNICATION,0.0015
CP09111,Cameras,"RECREATION, SPORT AND CULTURE",0.0002
CP09123,"Boats, yachts, outboard motors and other water-sport equipment","RECREATION, SPORT AND CULTURE",0
CP09211,"Video game computers, consoles, game applications and software","RECREATION, SPORT AND CULTURE",0.0009
CP09212,"Other games, toys and hobby-related articles","RECREATION, SPORT AND CULTURE",0.0044
CP09213,Celebration articles,"RECREATION, SPORT AND CULTURE",0
CP09221,Sporting equipment,"RECREATION, SPORT AND CULTURE",0.0016
CP09311,Garden products,"RECREATION, SPORT AND CULTURE",0.0009
CP09312,"Plants, seeds and flowers","RECREATION, SPORT AND CULTURE",0.0021
CP09321,Pets,"RECREATION, SPORT AND CULTURE",0
CP09322,Products for pets and other household animals,"RECREATION, SPORT AND CULTURE",0.0049
CP09450,Veterinary and other services for pets,"RECREATION, SPORT AND CULTURE",0.0016
CP09461,Recreational and leisure services,"RECREATION, SPORT AND CULTURE",0
CP09462,Services associated with the practice of sports,"RECREATION, SPORT AND CULTURE",0
CP09463,Services associated with attendance at sporting events,"RECREATION, SPORT AND CULTURE",0
CP09470,Games of chance,"RECREATION, SPORT AND CULTURE",0.0229
CP09510,Musical instruments,"RECREATION, SPORT AND CULTURE",0.0003
CP09610,"Services provided by cinemas, theatres and concert venues","RECREATION, SPORT AND CULTURE",0.0024
CP09620,"Services provided by museums, libraries and cultural sites","RECREATION, SPORT AND CULTURE",0
CP09630,Photographic services,"RECREATION, SPORT AND CULTURE",0
CP09690,Other cultural services,"RECREATION, SPORT AND CULTURE",0
CP09711,Educational books and textbooks,"RECREATION, SPORT AND CULTURE",0.001
CP09719,Other books,"RECREATION, SPORT AND CULTURE",0.0018
CP09721,Newspapers,"RECREATION, SPORT AND CULTURE",0
CP09730,Miscellaneous printed matter,"RECREATION, SPORT AND CULTURE",0.0004
CP09740,Stationery and drawing materials,"RECREATION, SPORT AND CULTURE",0.0017
CP09800,Package holidays,"RECREATION, SPORT AND CULTURE",0.0048
CP10101,Early childhood education,EDUCATION SERVICES,0.005
CP10102,Primary education,EDUCATION SERVICES,0.0022
CP10200,Secondary education,EDUCATION SERVICES,0.0066
CP10300,Post-secondary non-tertiary education,EDUCATION SERVICES,0.0003
CP10400,Tertiary education,EDUCATION SERVICES,0.0112
CP10501,Tutoring,EDUCATION SERVICES,0.011
CP10509,Other education not defined by level,EDUCATION SERVICES,0
CP11111,"Restaurants, cafes and the like - with full service",RESTAURANTS AND ACCOMODATION SERVICES,0.0674
CP11112,"Restaurants, cafes and the like - with limited service",RESTAURANTS AND ACCOMODATION SERVICES,0.0377
CP11129,"Other canteens, cafeterias and refectories",RESTAURANTS AND ACCOMODATION SERVICES,0
CP11201,"Hotels, motels, inns and similar accommodation services",RESTAURANTS AND ACCOMODATION SERVICES,0
CP11203,"Accommodation services of boarding schools, universities and other educational establishments",RESTAURANTS AND ACCOMODATION SERVICES,0
CP12110,Life and accident insurance,INSURANCE AND FINANCIAL SERVICES,0
CP12120,Insurance connected with health,INSURANCE AND FINANCIAL SERVICES,0
CP12130,Insurance connected with dwellings,INSURANCE AND FINANCIAL SERVICES,0
CP12141,Personal transport insurance,INSURANCE AND FINANCIAL SERVICES,0
CP12220,Explicit charges by deposit-taking corporations,INSURANCE AND FINANCIAL SERVICES,0
CP13111,Purchase of electric appliances for personal care,"PERSONAL CARE, SOCIAL PROTECTION AND MISCELLANEOUS GOODS AND SERVICES",0.0002
CP13120,"Other appliances, articles and products for personal care","PERSONAL CARE, SOCIAL PROTECTION AND MISCELLANEOUS GOODS AND SERVICES",0.0235
CP13131,Hairdressing,"PERSONAL CARE, SOCIAL PROTECTION AND MISCELLANEOUS GOODS AND SERVICES",0.0136
CP13132,Personal grooming treatments,"PERSONAL CARE, SOCIAL PROTECTION AND MISCELLANEOUS GOODS AND SERVICES",0.0068
CP13211,Purchase of jewellery and watches,"PERSONAL CARE, SOCIAL PROTECTION AND MISCELLANEOUS GOODS AND SERVICES",0.0017
CP13291,"Travel goods, baby articles and other personal effects n.e.c.","PERSONAL CARE, SOCIAL PROTECTION AND MISCELLANEOUS GOODS AND SERVICES",0.0036
CP13301,Childcare services,"PERSONAL CARE, SOCIAL PROTECTION AND MISCELLANEOUS GOODS AND SERVICES",0
CP13303,Home care services for elderly and disabled,"PERSONAL CARE, SOCIAL PROTECTION AND MISCELLANEOUS GOODS AND SERVICES",0
CP13309,Other social protection services,"PERSONAL CARE, SOCIAL PROTECTION AND MISCELLANEOUS GOODS AND SERVICES",0
CP13902,Religious services,"PERSONAL CARE, SOCIAL PROTECTION AND MISCELLANEOUS GOODS AND SERVICES",0
CP13909,Other services n.e.c.,"PERSONAL CARE, SOCIAL PROTECTION AND MISCELLANEOUS GOODS AND SERVICES",0
